zurich#1#2010-04-01#Conto proprio#0#10#comune#Agrigento##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#2#2010-04-01#Conto proprio#0#10#comune#Alessandria##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#3#2010-04-01#Conto proprio#0#10#comune#Ancona##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#4#2010-04-01#Conto proprio#0#10#comune#Aosta##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#5#2010-04-01#Conto proprio#0#10#comune#Arezzo##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#6#2010-04-01#Conto proprio#0#10#comune#AscoliPiceno##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#7#2010-04-01#Conto proprio#0#10#comune#Asti##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#8#2010-04-01#Conto proprio#0#10#comune#Avellino##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#9#2010-04-01#Conto proprio#0#10#comune#Bari##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#10#2010-04-01#Conto proprio#0#10#comune#Belluno##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#11#2010-04-01#Conto proprio#0#10#comune#Benevento##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#12#2010-04-01#Conto proprio#0#10#comune#Bergamo##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#13#2010-04-01#Conto proprio#0#10#comune#Biella##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#14#2010-04-01#Conto proprio#0#10#comune#Bologna##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#15#2010-04-01#Conto proprio#0#10#comune#Bolzano##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#16#2010-04-01#Conto proprio#0#10#comune#Brescia##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#17#2010-04-01#Conto proprio#0#10#comune#Brindisi##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#18#2010-04-01#Conto proprio#0#10#comune#Cagliari##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#19#2010-04-01#Conto proprio#0#10#comune#Caltanissetta##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#20#2010-04-01#Conto proprio#0#10#comune#Campobasso##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#21#2010-04-01#Conto proprio#0#10#comune#Caserta##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#22#2010-04-01#Conto proprio#0#10#comune#Catania##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#23#2010-04-01#Conto proprio#0#10#comune#Catanzaro##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#24#2010-04-01#Conto proprio#0#10#comune#Chieti##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#25#2010-04-01#Conto proprio#0#10#comune#Como##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#26#2010-04-01#Conto proprio#0#10#comune#Cosenza##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#27#2010-04-01#Conto proprio#0#10#comune#Cremona##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#28#2010-04-01#Conto proprio#0#10#comune#Crotone##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#29#2010-04-01#Conto proprio#0#10#comune#Cuneo##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#30#2010-04-01#Conto proprio#0#10#comune#Enna##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#31#2010-04-01#Conto proprio#0#10#comune#Ferrara##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#32#2010-04-01#Conto proprio#0#10#comune#Firenze##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#33#2010-04-01#Conto proprio#0#10#comune#Foggia##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#34#2010-04-01#Conto proprio#0#10#comune#Forl##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
zurich#35#2010-04-01#Conto proprio#0#10#comune#Frosinone##veicolo già assicurato con atr#BM#13#0#0#0#0#0#0#0#0#3000000
